"LEM_ADAMSS"

"Time      "	".JOINT_38.Element_Force.X"	".JOINT_38.Element_Force.Y"
9.549850e-01	-1.647772e+02	5.317871e+02
9.600000e-01	-3.231899e+02	5.455644e+02
9.700000e-01	-2.570964e+02	5.568600e+02
9.747732e-01	-4.821251e+02	5.962344e+02
9.800000e-01	-3.447825e+02	5.724917e+02
9.853185e-01	-2.445841e+02	5.574264e+02
9.900000e-01	-2.361782e+02	5.628161e+02
9.986533e-01	-2.854862e+02	5.699794e+02
1.000000e+00	-2.921285e+02	5.694676e+02
1.004730e+00	-2.908200e+02	5.696069e+02
1.010000e+00	-2.835357e+02	5.715631e+02
1.020000e+00	-2.867949e+02	5.742399e+02
1.030000e+00	-2.848780e+02	5.745053e+02
1.040000e+00	-2.920774e+02	5.730293e+02
1.050000e+00	-2.891453e+02	5.779542e+02
1.060000e+00	-2.951021e+02	5.808261e+02
1.070000e+00	-2.948451e+02	5.816753e+02
1.080000e+00	-3.001428e+02	5.860522e+02
1.090000e+00	-3.007345e+02	5.808055e+02
1.099133e+00	-3.104689e+02	5.844443e+02
1.100000e+00	-3.111201e+02	5.901804e+02
1.110000e+00	-3.047806e+02	5.881605e+02
1.120000e+00	-3.102021e+02	5.934759e+02
1.130000e+00	-3.188408e+02	5.969660e+02
1.138579e+00	-3.126435e+02	5.941389e+02
1.140000e+00	-3.230361e+02	5.918035e+02
1.147565e+00	-3.167646e+02	5.955754e+02
1.150000e+00	-3.230637e+02	5.971533e+02
1.157742e+00	-3.245016e+02	6.018443e+02
1.160000e+00	-3.195840e+02	6.002670e+02
1.170000e+00	-3.235982e+02	6.038556e+02
1.177603e+00	-3.136358e+02	6.134517e+02
1.180000e+00	-3.443826e+02	5.976715e+02
1.188733e+00	-3.252327e+02	6.068940e+02
1.190000e+00	-3.242725e+02	6.074754e+02
1.200000e+00	-3.336540e+02	6.045650e+02
1.210000e+00	-3.380036e+02	6.117388e+02
1.217528e+00	-3.283498e+02	6.188399e+02
1.220000e+00	-3.547682e+02	6.069485e+02
1.228745e+00	-3.201546e+02	6.196480e+02
1.230000e+00	-3.265869e+02	6.100859e+02
1.239064e+00	-3.436032e+02	6.119102e+02
1.240000e+00	-3.444201e+02	6.154996e+02
1.250000e+00	-3.501981e+02	6.139459e+02
1.258947e+00	-3.486487e+02	6.190662e+02
1.260000e+00	-3.482403e+02	6.186639e+02
1.270000e+00	-3.581572e+02	6.228599e+02
1.280000e+00	-3.579074e+02	6.229991e+02
1.286700e+00	-3.623157e+02	6.259419e+02
