"LEM_ADAMSS"

"Time      "	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"	".kolo_tyl_wahacz.Element_Force.X"	".kolo_tyl_wahacz.Element_Force.Y"
5.700000e-01	-6.464155e+02	-5.254066e+01	1.303029e+03	4.385199e+02	1.126850e+01	3.780729e+02
5.850000e-01	-6.622698e+02	-4.958449e+01	1.302686e+03	4.383741e+02	-2.028730e+01	3.809364e+02
6.000000e-01	-6.666192e+02	-4.781307e+01	1.301297e+03	4.378481e+02	-2.971379e+01	3.799527e+02
6.150000e-01	-6.546134e+02	-5.016908e+01	1.299129e+03	4.371928e+02	-8.495044e+00	3.781381e+02
6.300000e-01	-6.706339e+02	-4.559278e+01	1.298540e+03	4.368379e+02	-3.968120e+01	3.780987e+02
6.450000e-01	-6.653893e+02	-4.825091e+01	1.299397e+03	4.372899e+02	-2.945692e+01	3.802180e+02
6.533801e-01	-6.481964e+02	-5.340740e+01	1.303871e+03	4.389451e+02	7.957933e+00	3.805282e+02
6.600000e-01	-6.446250e+02	-5.317218e+01	1.304532e+03	4.391131e+02	1.623401e+01	3.781818e+02
6.750000e-01	-6.567325e+02	-5.001565e+01	1.300612e+03	4.377470e+02	-1.121734e+01	3.788718e+02
6.900000e-01	-6.828436e+02	-4.187392e+01	1.287749e+03	4.332174e+02	-7.431327e+01	3.780928e+02
6.960306e-01	-6.484361e+02	-5.143409e+01	1.296907e+03	4.365440e+02	1.241460e+00	3.772991e+02
7.050000e-01	-6.570408e+02	-4.963059e+01	1.297949e+03	4.368706e+02	-1.445977e+01	3.784339e+02
7.200000e-01	-6.480027e+02	-5.284417e+01	1.308742e+03	4.405410e+02	1.390101e+01	3.791315e+02
7.251345e-01	-6.653355e+02	-4.809232e+01	1.305811e+03	4.394328e+02	-2.240070e+01	3.795640e+02
7.350000e-01	-6.591319e+02	-4.952572e+01	1.299571e+03	4.374122e+02	-1.701549e+01	3.792544e+02
7.500000e-01	-6.907744e+02	-3.964550e+01	1.282623e+03	4.314770e+02	-9.491927e+01	3.783496e+02
7.650000e-01	-6.630986e+02	-5.052823e+01	1.298270e+03	4.370996e+02	-2.727154e+01	3.832779e+02
7.800000e-01	-6.565256e+02	-5.017690e+01	1.301050e+03	4.379382e+02	-1.040573e+01	3.790113e+02
7.950000e-01	-6.756124e+02	-4.437172e+01	1.293936e+03	4.353872e+02	-5.417303e+01	3.785990e+02
8.100000e-01	-6.574241e+02	-5.072012e+01	1.308007e+03	4.402705e+02	-5.164782e+00	3.801244e+02
8.250000e-01	-6.375858e+02	-5.660779e+01	1.311541e+03	4.416459e+02	3.627797e+01	3.804958e+02
8.384801e-01	-6.398360e+02	-5.499168e+01	1.305464e+03	4.395696e+02	2.608876e+01	3.789815e+02
8.400000e-01	-6.657537e+02	-4.832280e+01	1.297584e+03	4.367730e+02	-3.215192e+01	3.805483e+02
8.550000e-01	-6.566417e+02	-4.953984e+01	1.295856e+03	4.362184e+02	-1.579063e+01	3.781211e+02
8.601189e-01	-6.547391e+02	-5.193806e+01	1.296101e+03	4.364345e+02	-1.302374e+01	3.815606e+02
8.700000e-01	-6.446981e+02	-5.319006e+01	1.307340e+03	4.401229e+02	1.908261e+01	3.780779e+02
8.823974e-01	-6.682090e+02	-4.691780e+01	1.303906e+03	4.387777e+02	-2.967914e+01	3.789459e+02
8.850000e-01	-6.578057e+02	-5.071763e+01	1.302906e+03	4.386269e+02	-1.140119e+01	3.805708e+02
9.000000e-01	-6.582642e+02	-5.006525e+01	1.303536e+03	4.387968e+02	-1.129848e+01	3.795869e+02
9.103178e-01	-6.475925e+02	-5.357621e+01	1.300949e+03	4.380715e+02	6.020856e+00	3.806087e+02
9.150000e-01	-6.529841e+02	-5.002195e+01	1.294812e+03	4.358710e+02	-9.581517e+00	3.771310e+02
9.217616e-01	-6.656136e+02	-4.779363e+01	1.301477e+03	4.380416e+02	-2.740300e+01	3.793278e+02
9.300000e-01	-6.521272e+02	-5.219913e+01	1.303212e+03	4.387726e+02	-1.721607e-01	3.803376e+02
9.450000e-01	-6.469474e+02	-5.328732e+01	1.311893e+03	4.416499e+02	1.919710e+01	3.792240e+02
9.515402e-01	-6.485222e+02	-5.346945e+01	1.305424e+03	4.395529e+02	8.920238e+00	3.806877e+02
9.600000e-01	-6.583186e+02	-4.953122e+01	1.302685e+03	4.384831e+02	-1.199099e+01	3.786541e+02
9.750000e-01	-6.891663e+02	-4.002397e+01	1.279582e+03	4.305094e+02	-9.505004e+01	3.783422e+02
9.900000e-01	-6.739949e+02	-4.318585e+01	1.261464e+03	4.246936e+02	-8.465722e+01	3.770066e+02
1.005000e+00	-6.498445e+02	-5.259711e+01	1.310515e+03	4.411645e+02	1.211463e+01	3.795355e+02
1.016742e+00	-6.658030e+02	-4.792408e+01	1.300016e+03	4.375589e+02	-2.941176e+01	3.796983e+02
1.020000e+00	-6.532778e+02	-5.102121e+01	1.302513e+03	4.384779e+02	-2.589510e+00	3.787739e+02
1.035000e+00	-6.408437e+02	-5.557111e+01	1.321160e+03	4.447846e+02	4.038405e+01	3.798208e+02
1.050000e+00	-6.585675e+02	-4.782155e+01	1.288278e+03	4.336225e+02	-2.683020e+01	3.762882e+02
1.065000e+00	-6.425909e+02	-5.393010e+01	1.312086e+03	4.417162e+02	2.807481e+01	3.781171e+02
1.071367e+00	-6.481531e+02	-5.351218e+01	1.304964e+03	4.394038e+02	9.172844e+00	3.805922e+02
1.080000e+00	-6.610148e+02	-4.884908e+01	1.301438e+03	4.380592e+02	-1.851241e+01	3.788579e+02
1.093671e+00	-6.684192e+02	-4.693599e+01	1.302507e+03	4.383299e+02	-3.161695e+01	3.791469e+02
1.095000e+00	-6.471540e+02	-5.233970e+01	1.302750e+03	4.385857e+02	9.578712e+00	3.780276e+02
1.110000e+00	-6.583860e+02	-5.010358e+01	1.306381e+03	4.397384e+02	-8.533710e+00	3.795688e+02
1.125000e+00	-6.498595e+02	-5.246670e+01	1.307832e+03	4.402930e+02	9.311085e+00	3.794146e+02
1.137364e+00	-6.720521e+02	-4.585089e+01	1.305108e+03	4.391446e+02	-3.574460e+01	3.789190e+02
1.140000e+00	-6.605108e+02	-5.043057e+01	1.303421e+03	4.388143e+02	-1.629988e+01	3.814206e+02
1.152778e+00	-6.682157e+02	-4.621636e+01	1.300530e+03	4.376309e+02	-3.290118e+01	3.778512e+02
1.155000e+00	-6.591592e+02	-5.038933e+01	1.303785e+03	4.389138e+02	-1.308800e+01	3.806357e+02
1.170000e+00	-6.499721e+02	-5.239612e+01	1.307645e+03	4.402236e+02	8.918066e+00	3.793535e+02
1.185000e+00	-6.602365e+02	-4.968427e+01	1.309675e+03	4.408146e+02	-8.613505e+00	3.795996e+02
1.200000e+00	-6.644459e+02	-4.731479e+01	1.289658e+03	4.341122e+02	-3.728330e+01	3.783749e+02
1.215000e+00	-6.535474e+02	-5.051969e+01	1.300141e+03	4.376542e+02	-5.387353e+00	3.781116e+02
1.230000e+00	-6.705290e+02	-4.679799e+01	1.306429e+03	4.396227e+02	-3.174041e+01	3.798113e+02
1.237519e+00	-6.532258e+02	-4.993246e+01	1.299833e+03	4.375251e+02	-4.654848e+00	3.768137e+02
1.245000e+00	-6.546130e+02	-5.246280e+01	1.314774e+03	4.426205e+02	6.823179e+00	3.815810e+02
1.260000e+00	-6.755424e+02	-4.430623e+01	1.299526e+03	4.372427e+02	-4.803506e+01	3.781736e+02
1.275000e+00	-6.600908e+02	-4.902340e+01	1.296073e+03	4.363109e+02	-2.241279e+01	3.789455e+02
1.290000e+00	-6.447479e+02	-5.459812e+01	1.316717e+03	4.433091e+02	2.812687e+01	3.802598e+02
1.296242e+00	-6.475486e+02	-5.328063e+01	1.307509e+03	4.402296e+02	1.327611e+01	3.797342e+02
1.305000e+00	-6.425040e+02	-5.539534e+01	1.326060e+03	4.463817e+02	4.225119e+01	3.801477e+02
1.320000e+00	-6.419370e+02	-5.352138e+01	1.298343e+03	4.371848e+02	1.503677e+01	3.776580e+02
