"LEM_ADAMSS"

"Time      "	".tyl_kolo.Element_Force.X"	".tyl_kolo.Element_Force.Y"
6.800000e-01	8.433711e-02	-1.880516e+02
6.877954e-01	1.126646e+00	-1.876035e+02
6.900000e-01	-4.536133e-02	-1.883561e+02
7.000000e-01	-9.582843e-01	-1.881771e+02
7.050268e-01	1.894331e+00	-1.869416e+02
7.100000e-01	1.140872e+00	-1.880861e+02
7.200000e-01	5.968028e-01	-1.883793e+02
7.291871e-01	-2.758281e-02	-1.883456e+02
7.300000e-01	1.426190e-01	-1.882456e+02
7.400000e-01	-3.585281e-01	-1.885093e+02
7.456832e-01	6.785706e-01	-1.881695e+02
7.500000e-01	6.723881e-01	-1.882297e+02
7.600000e-01	-6.122721e-01	-1.882175e+02
7.630637e-01	1.256104e+00	-1.879252e+02
7.690722e-01	1.406290e+00	-1.876240e+02
7.700000e-01	-6.151881e-01	-1.888095e+02
7.761599e-01	1.146413e+00	-1.880030e+02
7.800000e-01	6.905863e-01	-1.883302e+02
7.829838e-01	-5.394339e-01	-1.885827e+02
7.885367e-01	1.391679e+00	-1.880203e+02
7.900000e-01	6.974173e-01	-1.880261e+02
8.000000e-01	-2.389474e+00	-1.900783e+02
8.080783e-01	-1.693115e+00	-1.895694e+02
8.100000e-01	-7.513066e-01	-1.890493e+02
8.145721e-01	-8.966182e-01	-1.890091e+02
8.200000e-01	1.815675e+00	-1.871651e+02
8.272905e-01	-1.066087e+00	-1.888508e+02
8.300000e-01	-1.023328e+00	-1.882719e+02
8.327341e-01	1.122923e+00	-1.879374e+02
8.400000e-01	-1.245965e+00	-1.893469e+02
8.431365e-01	1.641290e+00	-1.878559e+02
8.487582e-01	1.108459e-01	-1.887978e+02
8.500000e-01	-3.763809e-01	-1.888466e+02
8.578654e-01	6.071442e-01	-1.883906e+02
8.600000e-01	8.232974e-01	-1.883280e+02
8.633900e-01	-1.262591e+00	-1.890241e+02
8.700000e-01	-1.219016e-01	-1.889482e+02
8.800000e-01	4.131884e-01	-1.880581e+02
8.875849e-01	2.079443e+00	-1.872542e+02
8.900000e-01	1.805860e-01	-1.885673e+02
9.000000e-01	-8.391140e-01	-1.891637e+02
9.044080e-01	-1.242284e+00	-1.890453e+02
9.100000e-01	1.246885e+00	-1.883881e+02
9.200000e-01	-1.282779e-01	-1.886097e+02
9.238900e-01	9.750033e-01	-1.891289e+02
9.282580e-01	-1.097852e+00	-1.893823e+02
9.300000e-01	-2.748986e-01	-1.888506e+02
9.361019e-01	-1.087929e+00	-1.891126e+02
9.400000e-01	-7.294844e-01	-1.887839e+02
9.490211e-01	-1.527258e+00	-1.888750e+02
9.500000e-01	1.677155e+00	-1.874981e+02
9.528787e-01	-6.668263e-01	-1.886214e+02
9.586248e-01	1.110696e+00	-1.880072e+02
9.600000e-01	3.485762e-01	-1.884462e+02
9.668089e-01	-1.319028e+00	-1.891203e+02
9.700000e-01	-1.363745e-01	-1.888497e+02
9.774133e-01	1.430644e+00	-1.882623e+02
9.800000e-01	-9.187466e-01	-1.893909e+02
9.886410e-01	-1.083228e+00	-1.891714e+02
9.900000e-01	-2.956980e-01	-1.887812e+02
1.000000e+00	-5.520446e-02	-1.885628e+02
1.007323e+00	1.111132e+00	-1.878389e+02
1.010000e+00	-4.140048e-01	-1.887951e+02
1.020000e+00	1.108241e+00	-1.883091e+02
1.027235e+00	-1.136935e+00	-1.891078e+02
1.030000e+00	4.374527e-01	-1.883469e+02
1.038319e+00	-9.286619e-01	-1.889898e+02
1.040000e+00	-4.670279e-01	-1.889157e+02
1.045340e+00	7.053285e-01	-1.884692e+02
1.050000e+00	1.186930e+00	-1.883623e+02
1.060000e+00	6.363174e-01	-1.885458e+02
1.068323e+00	1.033745e+00	-1.878266e+02
1.070000e+00	2.093839e-01	-1.883861e+02
1.076769e+00	1.281934e+00	-1.882133e+02
1.080000e+00	2.116195e-01	-1.886016e+02
1.090000e+00	-1.037829e-01	-1.887398e+02
1.098570e+00	-1.473399e+00	-1.889268e+02
1.100000e+00	-4.864038e-01	-1.889321e+02
1.103806e+00	1.057626e+00	-1.883765e+02
1.110000e+00	2.360841e+00	-1.868082e+02
1.118257e+00	1.316986e+00	-1.877693e+02
1.120000e+00	3.234398e-01	-1.884366e+02
1.126170e+00	1.195422e+00	-1.880565e+02
1.130000e+00	6.577562e-01	-1.886265e+02
1.134429e+00	1.254287e+00	-1.883086e+02
1.140000e+00	3.083251e-01	-1.886536e+02
1.149029e+00	1.018290e+00	-1.882001e+02
1.150000e+00	-8.084115e-01	-1.893056e+02
1.154490e+00	-9.143180e-01	-1.892131e+02
1.160000e+00	1.927772e+00	-1.873914e+02
1.166215e+00	2.038345e+00	-1.872779e+02
1.168998e+00	-1.503828e-01	-1.886363e+02
1.170000e+00	2.121191e-01	-1.885375e+02
1.178045e+00	1.567683e+00	-1.877186e+02
1.180000e+00	2.590856e-01	-1.885964e+02
1.185801e+00	1.209478e+00	-1.881636e+02
1.190000e+00	1.263798e+00	-1.884255e+02
1.193168e+00	-1.610270e+00	-1.894810e+02
1.200000e+00	2.532205e-01	-1.887400e+02
1.210000e+00	1.226716e+00	-1.878080e+02
1.213663e+00	-1.236675e+00	-1.890185e+02
1.220000e+00	-1.980820e+00	-1.896834e+02
1.227995e+00	-1.756507e+00	-1.896949e+02
1.230000e+00	-9.888633e-01	-1.893320e+02
1.240000e+00	1.240793e+00	-1.886251e+02
1.248916e+00	-1.711774e+00	-1.891471e+02
1.250000e+00	1.846606e+00	-1.871676e+02
1.257910e+00	-4.981497e-02	-1.890392e+02
1.260000e+00	3.832304e-01	-1.890563e+02
1.263873e+00	4.119661e-01	-1.880887e+02
1.270000e+00	-3.043076e-01	-1.892988e+02
1.275661e+00	-9.743391e-01	-1.890825e+02
1.280000e+00	-1.447337e+00	-1.891518e+02
1.288819e+00	1.035332e-01	-1.888352e+02
1.290000e+00	-2.713980e-01	-1.888922e+02
1.296353e+00	1.083369e+00	-1.880912e+02
1.300000e+00	4.265243e-01	-1.885648e+02
1.303373e+00	-1.002934e+00	-1.889235e+02
1.309410e+00	-1.421546e+00	-1.897210e+02
1.310000e+00	4.859061e-02	-1.888114e+02
1.320000e+00	3.811000e-01	-1.884479e+02
1.330000e+00	2.213185e+00	-1.871771e+02
1.340000e+00	-5.030185e-01	-1.888923e+02
1.343214e+00	9.323113e-01	-1.885910e+02
1.349242e+00	6.494501e-01	-1.885731e+02
1.350000e+00	-4.774504e-01	-1.891646e+02
1.356856e+00	-9.905200e-01	-1.890587e+02
1.360000e+00	1.142361e+00	-1.882259e+02
1.367724e+00	-1.794194e+00	-1.899121e+02
1.370000e+00	-1.917518e+00	-1.901719e+02
1.380000e+00	1.992449e-01	-1.886771e+02
1.384470e+00	-3.233968e+00	-1.897055e+02
1.390000e+00	-2.766153e-02	-1.888224e+02
1.399277e+00	4.962893e-01	-1.886549e+02
1.400000e+00	-1.513624e-01	-1.890516e+02
1.410000e+00	-4.362742e-01	-1.891102e+02
1.420000e+00	3.922248e-01	-1.894578e+02
1.422953e+00	-2.012927e+00	-1.896528e+02
1.430000e+00	1.144813e+00	-1.880078e+02
1.433234e+00	-1.566757e+00	-1.890320e+02
1.440000e+00	2.896071e-01	-1.885465e+02
1.448176e+00	-1.210656e+00	-1.894790e+02
1.450000e+00	-3.998961e-01	-1.890788e+02
1.455554e+00	-1.155743e+00	-1.891496e+02
1.460000e+00	3.221516e-01	-1.880944e+02
1.463850e+00	-7.123032e-01	-1.882983e+02
1.470000e+00	-1.331179e+00	-1.898956e+02
1.480000e+00	6.081267e-02	-1.885275e+02
1.483950e+00	1.112871e+00	-1.893030e+02
1.490000e+00	-5.310998e-01	-1.893074e+02
1.493276e+00	1.234996e+00	-1.884089e+02
1.500000e+00	-5.004827e-01	-1.887387e+02
1.506366e+00	1.144751e+00	-1.880643e+02
1.510000e+00	4.686629e-01	-1.884863e+02
1.513762e+00	-1.667474e+00	-1.894400e+02
1.520000e+00	-9.250791e-01	-1.898598e+02
1.527948e+00	-1.759953e+00	-1.895751e+02
1.530000e+00	-9.139952e-02	-1.886415e+02
1.538200e+00	1.528775e+00	-1.874973e+02
1.540000e+00	4.747876e-01	-1.881765e+02
1.545487e+00	1.143234e+00	-1.881737e+02
1.550000e+00	-1.446033e-01	-1.891943e+02
1.553644e+00	2.345164e+00	-1.873982e+02
1.560000e+00	2.318330e-01	-1.886560e+02
1.563758e+00	-1.771771e+00	-1.890565e+02
1.567609e+00	-6.087269e-01	-1.886927e+02
1.570000e+00	-3.589863e-01	-1.884761e+02
1.573736e+00	1.428791e+00	-1.882374e+02
1.580000e+00	3.039563e+00	-1.865157e+02
1.588704e+00	1.080568e+00	-1.880760e+02
1.590000e+00	2.898535e-01	-1.885518e+02
1.599165e+00	1.003800e+00	-1.883165e+02
1.600000e+00	-5.901771e-01	-1.892043e+02
1.605476e+00	1.163958e+00	-1.883229e+02
1.610000e+00	-4.463295e-01	-1.894046e+02
1.613600e+00	1.273148e+00	-1.883899e+02
1.620000e+00	1.651256e+00	-1.873799e+02
1.626376e+00	2.132434e+00	-1.871269e+02
1.630000e+00	-7.176034e-01	-1.884560e+02
